Gene name 	Wormbase ID 	Imaged 	Lineaged 	Phenotypes 	Required for cellular function
pcbd-1 	WBGene00020397 	Yes 	Yes 	1 	Yes
pck-2 	WBGene00011232 	Yes 	Yes 		
pdi-3 	WBGene00003964 	Yes 	Yes 		
pdp-1 	WBGene00022832 	Yes 	Yes 		
pfd-3 	WBGene00006889 	Yes 	No (embryonic arrest) 		NA (embryonic lethal)
pfd-6 	WBGene00009004 	Yes 	Yes 	4 	Yes, embryonic lethal
pfkb-1.1 	WBGene00022456 	Yes 	Yes 		
pgk-1 	WBGene00020185 	Yes 	Yes 	1 	Yes
pgp-2 	WBGene00003996 	Yes 	Yes 		
pgrn-1 	WBGene00011936 	Yes 	Yes 		
pgs-1 	WBGene00021677 	Yes 	Yes 		
phip-1 	WBGene00009455 	Yes 	Yes 		
pif-1 	WBGene00004028 	Yes 	Yes 	1 	Yes
pigv-1 	WBGene00020375 	Yes 	Yes 		
plk-2 	WBGene00004043 	Yes 	Yes 	2 	Yes
pmr-1 	WBGene00004063 	Yes 	Yes 		
png-1 	WBGene00010160 	Yes 	Yes 		
pnk-1 	WBGene00004068 	Yes 	No (embryonic arrest) 		NA (embryonic lethal)
pole-1 	WBGene00009368 	Yes 	Yes 	4 	Yes, embryonic lethal
pop-1 	WBGene00004077 	Yes 	Yes 	6 	Yes, embryonic lethal
ppfr-1 	WBGene00008878 	Yes 	Yes 		
ppfr-2 	WBGene00017064 	Yes 	Yes 	1 	Yes
ppk-1 	WBGene00004087 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
pqn-44 (tent-5) 	WBGene00004131 	Yes 	Yes 	1 	Yes
prg-1 	WBGene00004178 	Yes 	Yes 		
pri-2 	WBGene00004181 	Yes 	Yes 	3 	Yes, embryonic lethal
prmt-7 	WBGene00012298 	Yes 	Yes 		
prp-17 	WBGene00018625 	Yes 	Yes 	4 	Yes, embryonic lethal
prp-31 	WBGene00022458 	Yes 	Yes 	4 	Yes, embryonic lethal
prp-4 	WBGene00007972 	Yes 	Yes 	3 	Yes, embryonic lethal
prpf-4 	WBGene00004186 	Yes 	Yes 	3 	Yes
psf-2 	WBGene00009287 	Yes 	Yes 	6 	Yes, embryonic lethal
ptps-1 	WBGene00015010 	Yes 	Yes 		
ptr-2 	WBGene00004217 	Yes 	Yes 	3 	Yes, embryonic lethal
ptr-21 	WBGene00004235 	Yes 	Yes 	1 	Yes
ptr-23 	WBGene00004237 	Yes 	Yes 		
R05D11.4 (ddx-52) 	WBGene00011032 	Yes 	Yes 		
R06C7.6 	WBGene00011065 	Yes 	Yes 		
R119.2 	WBGene00020088 	Yes 	Yes 		
R119.5 	WBGene00020090 	Yes 	Yes 		
R12E2.11 	WBGene00020036 	Yes 	Yes 		
R12E2.13 	WBGene00020038 	Yes 	Yes 		
rab-10 	WBGene00004273 	Yes 	Yes 	4 	Yes
rab-11.1 	WBGene00004274 	Yes 	Yes 		Yes, embryonic lethal
rab-5 	WBGene00004268 	Yes 	Yes 	4 	Yes, embryonic lethal
rab-8 	WBGene00004272 	Yes 	Yes 	2 	Yes, embryonic lethal
rad-54 (rad-54.L) 	WBGene00004298 	Yes 	Yes 		
rad-8 	WBGene00044305 	Yes 	Yes 		
rae-1 	WBGene00003803 	Yes 	Yes 	2 	Yes, embryonic lethal
ran-4 	WBGene00004305 	Yes 	Yes 	4 	Yes, embryonic lethal
rba-1 	WBGene00004312 	Yes 	Yes 	4 	Yes, embryonic lethal
rbg-2 	WBGene00004318 	Yes 	Yes 	2 	Yes
rbpl-1 	WBGene00009477 	Yes 	Yes 	4 	Yes, embryonic lethal
rbx-2 	WBGene00019993 	Yes 	Yes 	1 	Yes
rcor-1 	WBGene00022278 	Yes 	Yes 		
rga-2 	WBGene00013135 	Yes 	Yes 		
rig-5 	WBGene00004372 	Yes 	Yes 		
rla-0 	WBGene00004408 	Yes 	Yes 	4 	Yes, embryonic lethal
rnp-6 	WBGene00004389 	Yes 	Yes 		
row-1 	WBGene00009508 	Yes 	Yes 		
rpb-10 	WBGene00021347 	Yes 	Yes 	4 	Yes, embryonic lethal
rpb-5 	WBGene00019246 	Yes 	Yes 	3 	Yes
rpb-7 	WBGene00021845 	Yes 	Yes 	4 	Yes, embryonic lethal
rpl-13 	WBGene00004425 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
rpl-14 	WBGene00004426 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
rpl-17 	WBGene00004429 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
rpl-19 	WBGene00004431 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
rpl-25.2 	WBGene00004439 	Yes 	Yes 	3 	Yes, embryonic lethal
rpl-27 	WBGene00004441 	Yes 	Yes 	3 	Yes, embryonic lethal
rpl-30 	WBGene00004444 	Yes 	Yes 	5 	Yes, embryonic lethal
rpl-31 	WBGene00004445 	Yes 	Yes 	5 	Yes, embryonic lethal
rpl-4 	WBGene00004415 	Yes 	Yes 	5 	Yes, embryonic lethal
rpl-7 	WBGene00004418 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
rpn-10 	WBGene00004466 	Yes 	Yes 		
rpn-8 	WBGene00004464 	Yes 	No (embryonic arrest) 		NA (embryonic lethal)
rpoa-2 	WBGene00008781 	Yes 	Yes 	4 	Yes, embryonic lethal
rpom-1 	WBGene00013680 	Yes 	Yes 	1 	Yes
rps-10 	WBGene00004479 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
rps-15 	WBGene00004484 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
rps-17 	WBGene00004486 	Yes 	Yes 	4 	Yes, embryonic lethal
rps-19 	WBGene00004488 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
rps-20 	WBGene00004489 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
rps-26 	WBGene00004495 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
rps-6 	WBGene00004475 	Yes 	Yes 	2 	Yes, embryonic lethal
rpt-5 	WBGene00004505 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
rskn-1 	WBGene00011352 	Yes 	Yes 		
rsr-1 	WBGene00004706 	Yes 	Yes 		
rtcb-1 	WBGene00008877 	Yes 	Yes 	1 	Yes
rtel-1 	WBGene00009124 	Yes 	Yes 		
sac-1 	WBGene00009264 	Yes 	Yes 		
sacy-1 	WBGene00019245 	Yes 	Yes 	1 	Yes
scpl-1 	WBGene00007054 	Yes 	Yes 		
scpl-3 	WBGene00021629 	Yes 	Yes 	1 	Yes
sdha-2 	WBGene00016392 	Yes 	Yes 		
sec-12 	WBGene00010496 	Yes 	Yes 	5 	Yes, embryonic lethal
sec-8 	WBGene00004753 	Yes 	Yes 		
sem-2 	WBGene00004771 	Yes 	Yes 		
sesn-1 	WBGene00022279 	Yes 	Yes 		
set-10 	WBGene00009370 	Yes 	Yes 		
set-18 	WBGene00044070 	Yes 	Yes 		
sin-3 	WBGene00004117 	Yes 	Yes 		
sir-2.4 	WBGene00004803 	Yes 	Yes 		
skr-1 	WBGene00004807 	Yes 	Yes 	5 	Yes, embryonic lethal
skr-2 	WBGene00004808 	Yes 	Yes 	5 	Yes, embryonic lethal
slx-1 	WBGene00018909 	Yes 	Yes 		
smd-1 	WBGene00004875 	Yes 	Yes 		
smg-1 	WBGene00004879 	Yes 	Yes 	3 	Yes
smg-2 	WBGene00004880 	Yes 	Yes 	3 	Yes, embryonic lethal
smgl-1 	WBGene00008990 	Yes 	Yes 	2 	Yes, embryonic lethal
smn-1 	WBGene00004887 	Yes 	Yes 	4 	Yes, embryonic lethal
smo-1 	WBGene00004888 	Yes 	Yes 	4 	Yes, embryonic lethal
smp-1 	WBGene00004889 	Yes 	Yes 		
smu-1 	WBGene00004895 	Yes 	Yes 		
snf-1 	WBGene00004900 	Yes 	Yes 	1 	Yes
snpc-4 	WBGene00001568 	Yes 	Yes 	4 	Yes, embryonic lethal
snr-2 	WBGene00004915 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
snr-7 	WBGene00004920 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
snrp-27 	WBGene00011035 	Yes 	Yes 		
snx-27 	WBGene00009116 	Yes 	Yes 	1 	Yes
snx-3 	WBGene00006503 	Yes 	Yes 	6 	Yes
sod-2 	WBGene00004931 	Yes 	Yes 		
spe-5 	WBGene00004959 	Yes 	Yes 		
spg-7 	WBGene00004978 	Yes 	Yes 	2 	Yes, embryonic lethal
sqv-5 	WBGene00005023 	Yes 	Yes 		
stam-1 	WBGene00004109 	Yes 	Yes 		
stl-1 	WBGene00006061 	Yes 	Yes 		
stn-1 	WBGene00006062 	Yes 	Yes 		
suco-1 	WBGene00020031 	Yes 	Yes 	1 	Yes
sup-17 	WBGene00006324 	Yes 	Yes 	1 	Yes
sur-2 	WBGene00006349 	Yes 	Yes 	1 	Yes
sur-6 	WBGene00006352 	Yes 	Yes 	4 	Yes, embryonic lethal
swsn-9 	WBGene00007256 	Yes 	Yes 	1 	Yes
syx-7 	WBGene00009478 	Yes 	Yes 		
T01G9.2 	WBGene00011344 	Yes 	Yes 		
T01H8.2 (serr-1) 	WBGene00011353 	Yes 	Yes 	2 	Yes
T03F1.12 	WBGene00020193 	Yes 	Yes 	1 	Yes
T05E7.3 	WBGene00020259 	Yes 	Yes 		
T08B2.5 (rbm-5) 	WBGene00020346 	Yes 	Yes 		
T08G11.1 	WBGene00011629 	Yes 	Yes 		
T08G11.4 (tgs-1) 	WBGene00011631 	Yes 	Yes 	4 	Yes, embryonic lethal
T09B4.8 	WBGene00020382 	Yes 	Yes 		
T10B11.2 (cerk-1) 	WBGene00020398 	Yes 	Yes 	6 	Yes, embryonic lethal
T10B11.6 	WBGene00020402 	Yes 	Yes 		
T19B4.3 	WBGene00020557 	Yes 	Yes 		
T22C1.1 	WBGene00011912 	Yes 	Yes 	1 	Yes
T22C1.6 	WBGene00011917 	Yes 	Yes 	2 	Yes
T23D8.3 	WBGene00011944 	No (larva arrest/sterile) 	No 		NA (larva arrest/sterile)
T23G11.4 	WBGene00011969 	Yes 	Yes 	3 	Yes
T23H2.3 	WBGene00020742 	Yes 	Yes 	4 	Yes, embryonic lethal
T24B1.1 	WBGene00011975 	Yes 	Yes 		
